state,state_capital,state_capital_latitude,state_capital_longitude,Source,Comment,state_capital_point,is_capital_state
Western Province,Kibuye,2°03′42″S,29°20′54″E,"https://en.wikipedia.org/wiki/Kibuye,_Rwanda",,"(-2.0616666666666665, 29.348333333333333)",0
Southern Province,Nyanza,2°21′06″S,29°45′03″E,"https://en.wikipedia.org/wiki/Nyanza,_Rwanda",,"(-2.3516666666666666, 29.750833333333333)",0
Eastern Province,Rwamagana,1°57′09″S,30°26′16″E,https://en.wikipedia.org/wiki/Rwamagana,,"(-1.9525, 30.43777777777778)",0
Kigali City,Kigali City,1°56′38″S,30°3′34″E,https://en.wikipedia.org/wiki/Kigali,,"(-1.943888888888889, 30.059444444444445)",1
Northern Province,Byumba,1°34′34″S,30°04′03″E,https://en.wikipedia.org/wiki/Byumba,,"(-1.576111111111111, 30.0675)",0
