state,state_capital,state_capital_latitude,state_capital_longitude,Source,Comment,state_capital_point,is_capital_state
Debubawi Keyih Bahri,Assab,13°00′28″N,42°44′28″E,https://en.wikipedia.org/wiki/Assab,State also known as Southern Red Sea Region,"(13.007777777777777, 42.74111111111111)",0
Gash-Barka,Barentu,15°07′00″N,37°36′00″E,"https://en.wikipedia.org/wiki/Barentu,_Eritrea",,"(15.116666666666667, 37.6)",0
Debub,Mendefera,14°53′14″N,38°48′55″E,https://en.wikipedia.org/wiki/Mendefera,,"(14.887222222222222, 38.81527777777777)",0
Maekel,Asmara,15°19′22″N,38°55′30″E,https://en.wikipedia.org/wiki/Asmara,,"(15.322777777777777, 38.925)",1
Anseba,Keren,15°46′40″N,38°27′29″E,"https://en.wikipedia.org/wiki/Keren,_Eritrea",,"(15.777777777777779, 38.45805555555556)",0
Semienawi Keyih Bahri ,Massawa,15°36′35″N,39°27′00″E,https://en.wikipedia.org/wiki/Massawa,State also known as Northern Red Sea Region,"(15.609722222222222, 39.45)",0
